id;module;scherm;ernst;beschrijving;vermoedelijke_oorzaak;aanbevolen_oplossing;bestaande_code_hergebruiken;regressietest_nodig
"SPARKI-RIJ-009";"RIJDEN";"Ritregistratie";"P3";"Automatisch rit-einde (autoEnded) in record.tsx:158 kan abusievelijk belangrijke data afknippen";"Confidence check op 'strong' in useEffect:372 is een blackbox schatting";"Toon duidelijker preview van 'afgeknipt' deel voor bevestiging";"nee";"ja"
"SPARKI-RIJ-010";"RIJDEN";"Ritregistratie";"P3";"Gezondheidswaarschuwing (sick/injured) wordt genegeerd na ophalen";"healthWarning state in record.tsx:107 wordt gevuld maar nergens als blokkerende/waarschuwende UI getoond";"Toon waarschuwingsbanner/modal bij onStartPressed indien healthWarning set";"nee";"ja"
"SPARKI-RIJ-011";"RIJDEN";"Sensors";"P3";"Bluetooth sensor-samples (stoppedSamples) kunnen leeg zijn bij recovery";"record.tsx:326 hangt af van recorder.recoverable.sensorSamples, verifieer persistentie";"Check of sampling-interval tijdens recovery-sessie correct herstart";"ja";"ja"
"SPARKI-RIJ-012";"RIJDEN";"Ritregistratie";"P3";"Tijd-snapshot (logDate) in record.tsx:242 gebruikt lokale tijd, risico op verkeerde dag bij middernacht-ritten";"Vastleggen op basis van systeemklok ipv eerste trackpoint-tijd";"Gebruik tijdstempel van eerste GPS-fix voor logDate";"nee";"nee"
"SPARKI-RIJ-013";"RIJDEN";"navigate/[id].tsx";"P3";"Onlogische flow: bij het stoppen van een rit wordt direct saveRide.mutateAsync aangeroepen (regel 1358) voordat de gebruiker de kans krijgt om de rit te beoordelen of de naam te wijzigen (wat wel kan bij recovered rides). Dit leidt tot ""Naamloze route"" of hardcoded routenamen in de activiteitslijst.";"De onStop handler in navigate/[id].tsx:1350 start de mutatie direct met de default naam.";"Introduceer een review-stap (modal/scherm) na het stoppen van de opname maar vóór de finale API-call.";"nee";"ja"
"SPARKI-RIJ-014";"RIJDEN";"useRideRecorder.ts";"P3";"Sensordata wordt alleen gelogd als het scherm aan staat (JS timer in useEffect, regel 282), terwijl de GPS-track in de native achtergrond doorloopt. Dit creëert grote ""gaten"" in vermogens- en hartslagdata bij ritten met de telefoon in de achterzak, wat de trainingsanalyse onbetrouwbaar maakt.";"JS timers bevriezen in React Native achtergrond; alleen de native locatie-task (lib/ride-tracker) loopt door.";"Verplaats de sensor-sampling naar de native task of gebruik een native interval/module voor sensordata-collectie.";"nee";"ja"
"SPARKI-RIJ-015";"RIJDEN";"navigate/[id].tsx";"P3";"Wanneer de gebruiker de kaart handmatig verschuift (onUserPan), stopt de navigatie met volgen (following = false, regel 766). Er is echter geen duidelijke ""recenter"" knop in de UI om het volgen weer te activeren; de gebruiker moet de ""Navigeer"" knop onderin vinden (regel 1238) die niet als ""recenter"" oogt.";"Ontbreken van een expliciete herstelknop voor kaart-focus.";"Voeg een herkenbare ""Focus op mij"" knop toe op de kaart wanneer following false is.";"nee";"ja"
"SPARKI-ROU-004";"ROUTES";"Routebibliotheek";"P3";"Ontbrekende 'Navigeer' knop bij route-details (reeds gemeld als Taak #25)";"Geen trigger om navigatie te starten vanaf detail-drawer";"Voeg Navigeer-knop toe aan linked-route.tsx:320";"nee";"ja"
"SPARKI-ROU-005";"ROUTES";"Routeplanner";"P3";"RejoinRoute faalt zonder duidelijke fallback-instructie voor de renner";"customFetch in routes-api.ts:174 gooit rauwe backend error";"Vang 404/500 op met instructie: ""Rijd terug naar de blauwe lijn""";"nee";"ja"
"SPARKI-ROU-006";"ROUTES";"route-panel.tsx";"P3";"Slechte foutafhandeling: Bij een mislukte GPX-upload (regel 3169) wordt alleen een generieke melding ""Route kon niet worden verwerkt"" getoond, ongeacht of de fout lag aan een corrupte GPX, een serverfout (500), of een validatiefout (422 - geen trackpunten).";"Hardcoded error string in de onError callback.";"Gebruik de error-boodschap van de API (res.json({error: ...})) om de gebruiker specifiek te informeren.";"nee";"nee"
"SPARKI-ROU-007";"ROUTES";"routes.ts";"P3";"Toegankelijkheid/Privacy: De /api/routes/bibliotheek route (regel 1108) controleert geen eigenaarschap of autorisatie op de individuele routes (gebruikt routesInBbox), terwijl de web-UI suggereert dat dit persoonlijke of startset-routes zijn. Hoewel dit startset-data is, ontbreekt een duidelijke check of de opvrager in die regio ""mag"" kijken.";"Ontbreken van user-context in de database-query (lib/route-library.ts:161).";"Voeg een owner-check of regio-validatie toe gebaseerd op de clerkId van de gebruiker.";"nee";"nee"
"SPARKI-TEC-002";"TECHNIEK";"api-server/src/routes";"P3";"Ontbrekende query limits op veel DB-selects vergroot risico op memory issues bij groeiende datasets.";"Veel endpoints gebruiken db.select().from() zonder .limit().";"Voeg standaard limits (bijv. 100) toe aan alle lijst-selects in routes/account.ts, club.ts en release.ts.";"nee";"ja"
"SPARKI-TEC-003";"TECHNIEK";"sparki/src/lib/api.ts:53";"P3";"Silent catch bij mislukte JSON-parsing van error response kan foutdiagnose bemoeilijken.";"Try-catch blok negeert parse-fouten bij het ophalen van foutmeldingen van de server.";"Log de parse-fout of behoud de oorspronkelijke statusText als fallback in de Error.";"ja";"ja"
"SPARKI-TEC-004";"TECHNIEK";"sparki/src/components/sparki/day-homes";"P3";"Potentieel dode/ongebruikte schermen: emergency-day-home.tsx en race-day-home.tsx lijken nog niet actief aangeroepen (zie Task #5).";"Componenten zijn gebouwd maar de logica om ze te tonen is nog gepauzeerd/niet gemerged.";"Activeer de routing-logica voor deze schermen zodra de data-afhankelijkheden (zie Task #5) gereed zijn.";"ja";"ja"
"SPARKI-TEC-005";"TECHNIEK";"sparki/src/App.tsx:707";"P3";"Wouter-routes zijn niet gegroepeerd in een Switch, wat kan leiden tot dubbele rendering als paden overlappen.";"Routes staan los in de AppRouter zonder Switch wrapper.";"Wikkel alle Route-definities in een <Switch> component van wouter.";"nee";"ja"
"SPARKI-TEC-006";"TECHNIEK";"sparki/src/hooks/use-load.ts:16";"P3";"Data-trust risico: useLoad hook staat data-fetching toe zonder auth als DEV_PREVIEW aan staat.";"enabled: isSignedIn === true";" — DEV_PREVIEW. — Zorg dat DEV_PREVIEW in productie-builds gegarandeerd 'false' is via build flags.";"nee";"ja"
"SPARKI-TEC-007";"TECHNIEK";"sparki/src/components/sparki/training-builder.tsx:21";"P3";"Zware berekening (buildTimeline) wordt direct in de render-loop aangeroepen.";"const segs = buildTimeline(template.structure) zonder useMemo.";"Wikkel zware transformaties van template-structuren in useMemo om onnodige herberekeningen bij re-renders te voorkomen.";"ja";"ja"
"SPARKI-TEC-008";"TECHNIEK";"api-server/src/lib/routing/providers/ors.ts:173";"P3";"Performance logging met performance.now() zonder centrale registratie.";"Losse console.log voor timing in routing provider.";"Centraliseer performance monitoring om knelpunten app-breed te kunnen analyseren.";"nee";"nee"
"SPARKI-TEC-009";"TECHNIEK";"sparki/src/components/sparki/route-navigator.tsx:4438";"P3";"Silent ignore bij falende browser speech engine (TTS) kan verwarrend zijn voor de gebruiker.";"Geen fallback of foutmelding als window.speechSynthesis niet werkt of de stem ontbreekt.";"Toon een visuele indicatie/toast als audio-instructies niet kunnen worden afgespeeld.";"ja";"ja"
"SPARKI-TEC-010";"TECHNIEK";"api-server/src/scripts/backfill-world-photos.ts:98";"P3";"Potentieel memory-lek of performance issue bij backfills door slice() op volledige tabel-rows.";"rows.slice(0, limit) laadt eerst ALLES in geheugen alvorens te limiteren.";"Voeg de .limit(limit) direct toe aan de database query in plaats van in-memory slicing.";"nee";"nee"
"SPARKI-TEC-011";"TECHNIEK";"sparki/src/components/ui/sidebar.tsx:12";"P3";"useEffect zonder dependency array of met onvolledige dependencies kan infinite loops triggeren.";"React.useEffect met mogelijk ontbrekende dependencies.";"Controleer alle useEffect hooks op de aanwezigheid van een correcte dependency array (linting check).";"ja";"ja"
"SPARKI-TEC-012";"TECHNIEK";"Home";"P3";"Upgrade-nudge voor AI-briefing blokkeert volledige briefing sectie";"briefBlocked check in training-day-home.tsx:432";"Toon beperkte 'gratis' briefing ipv volledige blokkade";"nee";"nee"
"SPARKI-TEC-013";"TECHNIEK";"API-server";"P3";"Boot-waarschuwing FTP-inconsistentie: profiel-FTP leeg terwijl nieuwste geldige meting 268 W is (derived-load backfill).";"Profielveld en ftp_history lopen uiteen; self-heal corrigeert het profiel niet.";"Beslissen of backfill het profiel mag bijwerken of de melding een admin-actie moet worden; nu blijft de inconsistentie elke boot terugkomen.";"ja";"ja"
"SPARKI-VAN-006";"VANDAAG";"Home";"P3";"De ""StateCard"" (gebruikt op home) toont een begroeting op basis van de lokale tijd van de browser, maar de logica in `greeting()` (state-card.tsx:76) houdt geen rekening met tijdzones als de server-tijd zou afwijken (hoewel client-side uitgevoerd).";"Cliënt-side `new Date().getHours()` is correct voor de gebruiker, maar de UI-state kan verspringen bij hydratatie als de initiële render op de server gebeurt.";"Gebruik een useEffect voor de begroeting om hydration-mismatches te voorkomen.";"ja";"nee"
"SPARKI-VAN-007";"VANDAAG";"Home";"P3";"In `StateDayHome` (day-home.tsx:195) wordt bij een `focus === ""nutrition""` deep-link de view omgezet naar `voedingOpen`, maar de URL wordt direct vervangen door `/`. Dit verbreekt de browser 'back' knop functionaliteit voor gebruikers die via een link kwamen.";"`navigate(""/"", { replace: true })` verwijdert de state uit de URL.";"Gebruik router-state of laat de param staan tot de modal sluit.";"ja";"nee"
"SPARKI-VAN-008";"VANDAAG";"Momentblok";"P3";"N+1 query risico bij het laden van dashboard-data (vandaagWorkout, vandaagMetrics, allSessions, load) in één request. (artifacts/api-server/src/routes/athlete.ts:436)";"Eén route voert 4+ database queries sequentieel uit per dashboard-load.";"";"nee";"ja"
"SPARKI-VAN-009";"VANDAAG";"Training";"P3";"Ontbrekende handler: 'Route, weer & beste vertrektijd' in Sparki-uitleg-blok is hardcoded tekst zonder werkende link of data. (artifacts/sparki/src/components/sparki/training-day-home.tsx:207)";"Lijst-item (line 207) geeft expliciet aan 'nog geen live data', oogt als feature-placeholder.";"";"nee";"nee"
"SPARKI-VAN-010";"VANDAAG";"AddTraining";"P3";"Onlogische flow: Datumkeuze in LogSessionForm staat 'gisteren' toe bij inplannen, en 'morgen' bij loggen via contextDate. (artifacts/sparki/src/components/sparki/add-training.tsx:341)";"Min/max attributen op date-inputs (line 417, 155) zijn aanwezig maar de initialDate logic (line 341) kan dit passeren.";"";"nee";"ja"
"SPARKI-VAN-011";"VANDAAG";"Training";"P3";"Data-expositie: Sparkline voor fitheid (CTL) toont lege staat ('Log sessies...') ipv empty-state component met call-to-action. (artifacts/sparki/src/components/sparki/training-day-home.tsx:537)";"Inline paragraaf (line 537) ipv consistente UI empty-state.";"";"nee";"nee"
"SPARKI-VAN-012";"VANDAAG";"Home";"P3";"Performance: Strava-sync wordt bij ELKE dashboard-load getriggerd (void schedule) wat onnodige server-load geeft. (artifacts/api-server/src/routes/athlete.ts:444)";"maybeScheduleStravaCatchUp (line 444) vuurt bij elke GET /api/athlete/dashboard.";"";"nee";"ja"
"SPARKI-VAN-013";"VANDAAG";"Home";"P3";"Foutafhandeling: 'AccountNotReady' retry-knop voert refetch() uit, maar herstelt niet van netwerk-timeout in Clerk-SDK zelf. (artifacts/sparki/src/App.tsx:233)";"Retry-knop (line 233) herlaadt alleen Sparki-profiel, niet de auth-sessie.";"";"nee";"ja"
"SPARKI-ACT-003";"ACTIVITEITEN";"RouteDiscover";"P4";"Kaartstijl (Voyager) wijkt af van de rest van de app (dark-mode) (route-discover.tsx:53)";"Inconsistente visuele stijl vergeleken met RouteMap en andere kaart-onderdelen.";"Gebruik dezelfde dark-mode tileset als in RouteMap (cartodb-dark-matter).";"nee";"nee"
"SPARKI-ADM-005";"ADMIN";"admin.tsx:442";"P4";"Datasets per bron lijst in Data Trust dashboard gebruikt hardcoded 'green/red' uit STATUS_META; bij theme-wijzigingen kan het contrast wegvallen.";"Hardcoded style-object koppelingen.";"Gebruik de theme-tokens of CSS variabelen.";"nee";"nee"
"SPARKI-ADM-006";"ADMIN";"admin-health-detail.tsx:56";"P4";"Terug-knop op de health-detail pagina is een harde link naar /admin ipv window.history.back; dit verbreekt de flow als de admin vanaf een specifiek dashboard kwam.";"Statische navigatie.";"Gebruik een dynamische terug-logica zoals in ScreenShell.";"ja";"nee"
"SPARKI-CLU-009";"CLUB";"CLUB-BEHEER";"P4";"De locaties-sectie (artifacts/sparki/src/pages/club-beheer.tsx:223) toont geen foutmeldingen van de server als het toevoegen van een locatie mislukt door netwerkfouten, alleen lokale validatie op lege naam.";"Onvolledige foutafhandeling in de mutation.";"Gebruik de error state van useCreateClubLocation om een melding te tonen.";"ja";"nee"
"SPARKI-COA-012";"COACH";"COACH-COCKPIT";"P4";"De 'lastReviewedAt' datum wordt bijgehouden op de link (artifacts/api-server/src/routes/coach-cockpit.ts:331), maar in de cockpit-UI (artifacts/sparki/src/pages/coach-cockpit.tsx) is er geen visuele indicatie of knop om deze beoordeling direct te markeren zonder een signaalactie.";"Actie is alleen beschikbaar via API, niet prominent in de cockpit-UI.";"Voeg een 'Markeer als beoordeeld' knop toe bovenaan de cockpit.";"ja";"nee"
"SPARKI-COA-013";"COACH";"coach-cockpit.tsx:213";"P4";"Workout-datumkiezer in het formulier gebruikt de standaard browser-styling die vloekt met het premium dark-theme van de cockpit.";"Gebruik van standaard <input type=""date""> zonder custom styling.";"Pas Tailwind styling toe op de date-picker of gebruik een custom component.";"ja";"nee"
"SPARKI-COA-014";"COACH";"coach-cockpit.tsx:236";"P4";"Numerieke inputs (Duur/Belasting) strippen niet-cijfers via regex, maar tonen geen foutmelding als de gebruiker letters probeert te typen.";"Silent input filtering.";"Toon een subtiele inline error of gebruik een numeriek toetsenbord/input type.";"nee";"nee"
"SPARKI-COA-015";"COACH";"coach-cockpit.tsx:640";"P4";"EndDate tooltip (""Geldig tot (optioneel)"") op de context-input is niet toegankelijk voor keyboard-only gebruikers.";"Gebruik van native title attribuut.";"Vervang door een ARIA-label of visuele hint.";"ja";"nee"
"SPARKI-LOG-004";"LOGIN";"Clerk";"P4";"Cosmetisch: Logo-URL in Clerk-appearance gebruikt window.location.origin, wat problemen geeft bij redirects vanaf andere subdomains/proxy's. (artifacts/sparki/src/App.tsx:144)";"Hardcoded origin-prefix in logoImageUrl (line 144).";"";"nee";"nee"
"SPARKI-PLA-007";"PLAN";"TrainingPlanPanel";"P4";"Datum-labels gebruiken browser-locale in plaats van vaste app-taal (training-plan-panel.tsx:177)";"Potentiële inconsistentie in datum-notatie (bijv. 'Mon' vs 'Ma') bij verschillende browserinstellingen.";"Gebruik een vaste locale ('nl-NL') voor alle date-formatting in de app.";"nee";"nee"
"SPARKI-PRO-009";"PROFIEL";"You";"P4";"De `identity.facts` op de `/you` pagina (you.tsx:564) hebben een vaste breedte `flex-1` zonder wrapping, wat op zeer smalle schermen (bijv. iPhone SE) tekstoverlap kan veroorzaken.";"`flex-1 text-center` zonder overflow-afhandeling.";"Gebruik `flex-wrap` of een grid layout die responsive is.";"ja";"nee"
"SPARKI-PRO-010";"PROFIEL";"You";"P4";"De `/you` pagina gebruikt `HoofdstukTabs` (you.tsx:522) met een `variant=""donker""`. Andere schermen in de app lijken een andere tab-stijl te gebruiken (gebaseerd op `ui/tabs.tsx`), wat zorgt voor een inconsistente visuele ervaring.";"Meerdere tab-implementaties in de codebase.";"Standaardiseer op één Tab component voor alle pagina's.";"ja";"nee"
"SPARKI-PRO-011";"PROFIEL";"You";"P4";"Cosmetisch: Tab-switching (?tab=) en focus (?focus=) veroorzaken 2.5s jitter door re-scrolling logic om async content te vangen. (artifacts/sparki/src/pages/you.tsx:347)";"Interval-based scrollIntoView (line 364) tikt 2.5s lang door om layout-shifts te compenseren.";"";"nee";"nee"
"SPARKI-RIJ-016";"RIJDEN";"Ritoverzicht";"P4";"Datumformattering in RideDetailScreen gebruikt lokale systeemtijd ipv rit-tijdzone";"fmtDate in [id].tsx:41 negeert mogelijke verschuivingen door iso-split";"Gebruik date-fns of verifieer UTC-afhandeling";"nee";"nee"
"SPARKI-RIJ-017";"RIJDEN";"Ritdetail";"P4";"Delen van rit-afbeelding faalt stil op Web";"Platform check in [id].tsx:150 voorkomt actie maar geeft geen feedback";"Toon 'niet ondersteund op web' melding aan gebruiker";"nee";"nee"
"SPARKI-RIJ-018";"RIJDEN";"Mobiel";"P4";"Inconsistent gebruik van Lucide (web) vs Ionicons (mobiel) in navigatie-iconen";"[id].tsx:227 gebruikt Ionicons, training-day-home.tsx:28 Lucide";"Harmoniseer icoon-sets voor visuele consistentie";"nee";"nee"
"SPARKI-ROU-008";"ROUTES";"Routeoverzicht";"P4";"N+1 risico in routes.ts:143 door ontbrekende joins voor statistieken";"Routes query fetcht summaries zonder aggregates (distance/elevation) indien die in een aparte tabel staan";"Verifieer of drizzle-query alle benodigde velden in één join ophaalt";"nee";"nee"
"SPARKI-ROU-009";"ROUTES";"Routebibliotheek";"P4";"Zoekregister (zoekregister.ts) is case-sensitive of mist accent-insensitivity";"Geen normalisatie zichtbaar in lib/zoekregister.ts";"Implementeer unidecode/lowercasing in zoek-index";"nee";"nee"
"SPARKI-ROU-010";"ROUTES";"route-library.tsx";"P4";"Cosmetisch: De ""Verwijderen"" actie (regel 516) gebruikt een browser window.confirm(). Dit wijkt af van de rest van de Sparki-designtaal die gebruik maakt van Radix/custom modals.";"Directe aanroep van window.confirm.";"Vervang window.confirm door een UI-consistent bevestigingsvenster.";"nee";"nee"
"SPARKI-ROU-011";"ROUTES";"route-panel.tsx";"P4";"Geen empty-state: Wanneer een gebruiker geen bewaarde routes heeft en op ""Bewaarde routes"" klikt (regel 3218), gebeurt er niets (de lijst wordt niet getoond omdat routes.length > 0 is). De gebruiker krijgt geen feedback dat de lijst leeg is.";"Conditionele rendering op routes.length > 0.";"Toon een helpende tekst (""Je hebt nog geen routes bewaard"") wanneer de lijst leeg is.";"nee";"nee"
"SPARKI-TEC-014";"TECHNIEK";"sparki/src/pages/lab.tsx:1";"P4";"Dode code/testpagina: /lab is een omvangrijke testpagina met veel imports die waarschijnlijk niet in productie hoort.";"Pagina is blijven staan na ontwikkeling van diverse viz-componenten.";"Verwijder artifacts/sparki/src/pages/lab.tsx en de route in App.tsx vóór productie-release.";"nee";"nee"
"SPARKI-TEC-015";"TECHNIEK";"api-server/src/routes/routes.ts:502";"P4";"Actieve console.log statements in productie-paden (o.a. in routes.ts en jobs) vervuilen server logs.";"Debug logs zijn niet verwijderd of vervangen door een logger.";"Vervang console.log door een gestructureerde logger (zoals pino of winston) of verwijder ze.";"nee";"nee"
"SPARKI-TEC-016";"TECHNIEK";"sparki/src/components/sparki/beheer-popup.tsx:39";"P4";"Vaste breedte-classes (sm:max-w-2xl) in sheets kunnen layout-problemen geven op zeer kleine mobiele schermen.";"Hardcoded max-width op SheetContent.";"Gebruik relatieve breedtes of zorg voor volledige breedte op mobile-first viewports.";"ja";"ja"
"SPARKI-TEC-017";"TECHNIEK";"sparki/src/components/sparki/entitlements-admin.tsx:11";"P4";"Hardcoded strings voor 'temporary_addon' etc. maken i18n/onderhoud lastiger.";"Type-definities en labels staan hardcoded in de component.";"Verplaats configuratie-data naar een apart constants of types bestand.";"ja";"nee"
"SPARKI-TEC-018";"TECHNIEK";"sparki/src/components/sparki/connections-section.tsx:27";"P4";"Magic numbers/kleuren in component styling (rgba(251,191,36,0.22)).";"Inline styles gebruiken hardcoded RGBA waarden in plaats van Tailwind thema-kleuren.";"Vervang hardcoded kleuren door Tailwind theme-tokens (bijv. amber-400/20) voor consistente UI.";"ja";"nee"
"SPARKI-TEC-019";"TECHNIEK";"API-server";"P4";"Continue GET / 404-logregels op de api-server in dev (platform-pings); vervuilt logs en bemoeilijkt diagnose.";"Liveness-ping raakt de kale service-root; alleen /api en /api/healthz geven 200.";"Root-pad een lichte 200 geven of deze pings uit de request-logging filteren.";"ja";"nee"
